start,end
胃泌素瘤,腹泻
过敏性皮炎-测试,皮肤瘙痒症
伴纤维囊性骨炎的假性甲状旁腺功能低下症,骨折
急性视网膜坏死综合征,白内障
气管梗阻,昏迷
原发性心脏肿瘤,昏迷
喉狭窄,喉阻塞
宫颈癌前病变,肾功能衰竭
Leber遗传性视神经病变,球后视神经炎
肠系膜脂肪炎,肠梗阻
血管性帕金森综合征,心律失常
子宫内膜息肉,贫血
病毒性肝炎,肝硬化腹水
单发性毛鞘瘤,败血症
获得性免疫缺陷综合征相关淋巴瘤,消化道出血
哮病,肺胀
热毒冲心,腹膜炎
巨大肥厚性胃炎,水肿
小儿慢性肾小球肾炎,营养不良
幼年型疱疹样皮炎,急性肾炎
急性特发性心包炎,缩窄性心包炎
着色芽生菌病,脑膜炎
胃穿孔,腹痛
心源性休克,应激性溃疡
组织细胞纤维瘤,骨折
经前期综合征,失眠抑郁
老年人播散性血管内凝血,昏迷
阴道恶性肿瘤,便秘
小儿肠旋转不良,先天性心脏病
大颗粒淋巴细胞白血病,骨髓纤维化
胎儿乙醇综合征,脑膨出和脑脊膜膨出
梅毒性关节炎,骨坏死
脐炎,血栓形成
高渗性非酮症性糖尿病昏迷,肾功能衰竭
妊娠合并风湿性心脏病,妊高征
冠状病毒感染,肺炎
化学烧伤,脑水肿
上颌窦炎,头痛
食管源性胸痛,吞咽困难
胆结石,胆管结石
戒酒综合征,胰腺炎
妊娠高血压综合征,蛛网膜下腔出血
老年急性动脉栓塞,休克
反社会人格障碍(病态人格),品行障碍
先天性耳聋,耳聋
老年人睡眠呼吸暂停综合征,心律失常
神经类疾病,躯体感觉障碍
I型肾小管性酸中毒,肾功能衰竭
小儿肾血管性高血压,高血压脑病
血小板减少症,消化道出血
锡尘肺,肺气肿
Kartagener综合征,鼻窦炎
斑秃,白癜风
乳腺癌肉瘤,乳头内陷
盲肠肉芽肿,半乳糖血症
小儿心面综合征,毛细血管瘤
小儿中毒型痢疾,弥散性血管内凝血
内分泌病,女性不孕症
胆囊炎,肝脓肿
