start,end
韦格纳肉芽肿,硫唑嘌呤片
拇指掌指关节尺侧侧副韧带损伤,舒筋活血片
慢性荨麻疹,氯雷他定糖浆
视神经胶质瘤,替尼泊苷注射液
广州管圆线虫病,吡喹酮片
狐惑,阿莫西林颗粒
溃疡性结肠炎,硫唑嘌呤片
血证,门冬氨酸钾镁片
乳头溢液,头孢氨苄胶囊
小儿疳眼,维生素A软胶囊
肱骨外上髁炎,萘丁美酮胶囊
急性气管－支气管炎,头孢氨苄胶囊
先天性心脏病,依托红霉素片
非酮症高血糖-高渗性昏迷,乙酰谷酰胺注射液
肛门周围癌,消癌平片
营养不良性皮肤钙化病,利福喷丁胶囊
病毒性脑膜炎,乙酰谷酰胺注射液
膀胱囊肿,金刚藤口服液
放射性肾炎,呋塞米片
结直肠癌,消癌平片
胆肠内引流术后内疝,小儿暖脐膏
汉坦病毒肺综合征,利巴韦林片
阑尾腺癌,消癌平片
二硫化碳中毒,十一味金色丸
膀胱脱垂,荡石片
精神分裂症,氯氮平口腔崩解片
小儿阵发性心动过速,盐酸普罗帕酮片
气管前间隙感染,盐酸左氧氟沙星胶囊
跟腱后滑囊炎,依托芬那酯凝胶
褐黄病性关节炎,阿司匹林肠溶胶囊
皮肤癌,氟尿嘧啶注射液
先天性红细胞生成异常性贫血,当归片
慢性淋巴细胞性白血病,消癌平片
坐骨神经痛,布洛芬片
近视,冰珍清目滴眼液
安眠药中毒,十一味金色丸
软骨黏液样纤维瘤,顺铂注射液
多腺体缺陷综合征,阿法骨化醇软胶囊
淋球菌感染,阿莫西林颗粒
赤脉传睛,牛黄解毒片
硼酸中毒,注射用鼠神经生长因子
急性坏死出血性脑脊髓炎,益髓颗粒
恒定性外斜视,注射用A型肉毒毒素
垂体危象与垂体卒中,十一酸睾酮胶丸
肠郁,香砂养胃丸
风湿性疾病,麝香壮骨膏
乳管内乳头状瘤,小金丸
多器官功能障碍综合征,肝复康丸
骨骺点状发育不良,醋酸钙颗粒
学习技能发育障碍,吡拉西坦片
牙宣,一清颗粒
小儿先天性肌强直综合征,维生素E软胶囊
蛋白质缺乏症,注射用腺苷钴胺
Q热,头孢氨苄胶囊
慢性干燥性鼻炎,氨苄西林胶囊
毛滴虫病,植物萃取抑菌剂
间插血吸虫病,马洛替酯片
胸内甲状腺肿,左甲状腺素钠片
月经量少,益母草颗粒
周围性软骨肉瘤,甲氨蝶呤片
产褥中暑,阿奇霉素片
红斑,注射用甲泼尼龙琥珀酸钠
风湿病,麝香壮骨膏
小儿真菌性肺炎,伊曲康唑颗粒
相对性红细胞增多症,复方黄黛片
巨细胞病毒病,诺氟沙星胶囊
枕骨大孔脑膜瘤,注射用香菇多糖
跖趾关节痛,骨肽片
额颞痴呆,吡拉西坦片
老年人脑出血,安宫牛黄丸
先天性胫骨假关节,止血镇痛胶囊
睫状环阻滞性青光眼,拉坦前列素滴眼液
颈椎单侧及双侧小关节脱位,骨刺片
视束病变,和血明目片
新生儿Wilson-Mikity综合征,盐酸氨溴索葡萄糖注射液
肌肉肌腱单位的急性损伤,三七片
千足虫灼伤,头孢氨苄胶囊
B疱疹病毒感染,诺氟沙星胶囊
麻疹,氯雷他定片
着色芽生菌病,盐酸左氧氟沙星胶囊
成人硬肿症,积雪苷霜软膏
回旋状脉络膜视网膜萎缩,毛冬青注射液
慢性舌扁桃体炎,感冒清胶囊
小儿营养不良,葡萄糖酸锌颗粒
伤寒与副伤寒,乳酸左氧氟沙星片
肤胀,阿奇霉素片
睑板腺癌,转移因子注射液
小儿视网膜色素变性-肥胖-多指综合征,乙酰唑胺片
Chance骨折,独一味片
宫寒,复方醋酸棉酚片
遗忘综合征,吡拉西坦片
开角型青光眼,拉坦前列素滴眼液
子宫内膜薄,妇乐颗粒
鼻窦气压性创伤,云南花粉片
儿童腹痛,蒙脱石散
颌面部神经纤维瘤,强力康颗粒
阴疮,甲硝唑乳膏
子宫内膜不规则脱落,妇科调经片
多动症,静灵口服液
急性细支气管炎,喷托维林氯化铵糖浆
药物相关性青光眼,拉坦前列素滴眼液
特发性低促性腺激素性性腺功能减退症,十一酸睾酮胶丸
痰火,头孢氨苄胶囊
慢性自身免疫性甲状腺炎,甲巯咪唑片
肝硬化性肾损害,维生素C片
耳内脑膜脑疝,甘露醇注射液
血厥,氯化钠注射液
尼曼－匹克氏病,盐酸硫必利片
汗疱症,利巴韦林含片
心脏横纹肌瘤,强力康颗粒
环状胰腺,西咪替丁片
