start,end
肾功能衰竭,鸡肝
阴虚,白菜
自主性高功能性甲状腺腺瘤,核桃
母儿血型不合溶血病,鸡蛋
子宫收缩乏力,芝麻
筋痿,鸡肉
消化道憩室病,葵花子仁
胃病,黑豆
颈动脉创伤性栓塞,葵花子仁
急性侵袭型肺曲霉病,栗子（熟）
急性中毒性脑炎,鸭肉
小儿急性呼吸窘迫综合征,绿豆
子宫内膜异位,鸭蛋
老年人再生障碍性贫血,葵花子仁
椎管狭窄,鸡蛋
大疱性类天疱疮,鳕鱼
老年人缺血性结肠炎,葵花子仁
急性单纯性胃炎,鹿肉
脾梗死,圆白菜
肘关节骨化肌炎,白砂糖
尿毒症昏迷,鸭蛋
中毒性坏死性表皮松解型药疹,鸡肝
遗传性椭圆形红细胞增多症,鸭蛋
小儿关节弯曲综合征,花生
三尖瓣狭窄,杏仁
原发性视网膜色素变性,葵花子仁
电灼伤,鸡蛋
真菌性食物中毒,葵花子仁
乳房纤维瘤,芝麻
软骨粘液样纤维瘤,薇菜
先天性小喉,鸭蛋
阴道腺病,鸡肉
肝性脑病,莲子
三高症,蜂蜜
淋巴瘤样肉芽肿,鸡内金
肾功能衰竭,鸡肉
小儿先天性甲状腺功能减低症,鳝鱼
拇指掌指关节尺侧侧副韧带损伤,鸡肉
十字韧带损伤,鸡蛋
蝶骨嵴脑膜瘤,青豆
青少年及小儿阴道透明细胞癌,赤砂糖
红眼病,芝麻
恋童癖,鸡蛋
农药中毒所致的精神障碍,薇菜
肛门息肉,苹果
闭塞性动脉硬化,黑芝麻
大汗腺癌,莲子
老年人慢性胃炎,鹅肉
妊娠合并再生障碍性贫血,鹌鹑蛋
儿童抽动障碍,鸡蛋
老年人心力衰竭,核桃
铜绿假单胞菌感染,鹌鹑蛋
餐后血糖过低症,腰果
先天性腹壁肌肉发育不良,鸽蛋
蛋白丢失性胃肠病,孢子甘蓝
先天性斜颈,芝麻
小儿溶血尿毒综合征,腰果
小脑扁桃体下疝畸形,芝麻
狐惑,鸡蛋
染色体异常伴发的精神障碍,鸽肉
妊娠高血压综合征眼底病变,赤砂糖
外阴软纤维瘤,核桃
钡中毒,栗子（熟）
内分泌性肌病,鸽蛋
胃扭转,鹿肉
卵巢浆液性肿瘤,葵花子仁
结核性宫颈炎,鸭肝
骨化性肌炎,鸡蛋
副溶血孤菌肠炎,冬瓜
情感障碍,鸡肝
面瘫唇肿裂纹舌综合征,鹌鹑蛋
进行性脂肪营养不良,芝麻
癌肿性关节炎,莲子
软骨样汗管瘤,赤砂糖
遗传性乳光牙,鸭血(白鸭)
痛经,鸡肝
下颌下间隙感染,鸡蛋
外阴湿疹,葵花子仁
日光皮炎,鹅
低血糖,南瓜子仁
髌骨骨折,白果（干）
化学烧伤,葵花子仁
膝关节半月板损伤,南瓜子仁
白癜风,杏仁
锌缺乏病,葵花子仁
强迫型人格障碍,鸡蛋
玻璃体及视网膜脱离手术所致青光眼,黑芝麻
分离性垂直偏斜,乌骨鸡
传染性单核细胞增多症,鸭翅
男性病,南瓜子仁
神经源性肿瘤,鸡蛋
椎弓结核,鸽蛋
风湿病,咸鸭蛋
结节病性心肌病,黑豆
宫颈腺癌,芝麻
膀胱平滑肌肉瘤,鸡血
脂溢性皮炎,鸡心
急性肾小管间质性肾炎,花生
假性动脉瘤,鸭蛋
小细胞肺癌,芝麻
膝关节结核,葵花子仁
老年久病卧床,葵花子仁
急性肺炎,馒头
盲肠肉芽肿,芝麻
桡骨小头骨骺分离,南瓜子仁
乳发,鸡肉
回乳,鹌鹑蛋
化脓性食管炎,花生
枕叶肿瘤,莲子
筋骨懈堕,腰果
先天性肺囊肿,鸡蛋清
功血,鹅肉
侵袭性大肠埃希氏菌肠炎,白菜
早泄,鹿肉
非寄生虫性肝囊肿,栗子（熟）
钩虫性十二指肠炎综合征,葵花子仁
气臌,鸡蛋
脉管炎,芝麻
小儿肺栓塞,孢子甘蓝
大脑凸面脑膜瘤,核桃
灼痛,白果（鲜）
甲状腺血管瘤,腰果
白化病,黑芝麻
化脓性角膜炎,鸭蛋
失血性休克,鸡心
干酪性鼻炎,鸭翅
痛风性心肌病,薇菜
白血病,杏仁
支气管肺炎,松子仁
巨大儿,南瓜子仁
胞痹,鹅肝
外伤性脂肪坏死,芝麻
日光皮炎,鸡蛋
SARS的胃肠道感染,鹌鹑蛋
向胸腰段脊髓供血的大根动脉缺血症候群,鸽蛋
外阴浸润性鳞癌,白扁豆
浅表性静脉炎,胡萝卜
胫骨髁骨折,鸡肉
肝脏类癌,芝麻
血稠,大豆
甲状旁腺骨营养不良,鸽肉
阴道毛滴虫病,葵花子仁
鼻疖,鸽蛋
急性胆源性胰腺炎,芝麻
滑膜炎,鸭蛋
摩擦性苔藓样疹,鸽蛋
胰腺损伤,葵花子仁
传染性单核细胞增多,葵花子仁
小儿血友病,腰果
股神经干性痛,花生
呼吸性细支气管相关的间质性肺疾病,栗子（熟）
房室管畸形,栗子（熟）
男性性早熟,花生
钠过多,松子仁
老年性黄斑变性,杏仁
口腔干燥综合征,豆腐
赤膜下垂,鸭蛋
颌骨癌,鸭翅
小儿血管瘤,花生
梅勒尼坏疽,鸡血
小儿全远端型肾小管酸中毒,腰果
慢性酒中毒,薇菜
鹅掌风,青豆
周围神经损伤,鸡肉
先天性梅毒,鸡蛋
秃头,鸡蛋
焦油性黑变病,白果（鲜）
小儿神经纤维瘤病,南瓜子仁
动脉硬化性闭塞症,葵花子仁
毛囊炎,白果（鲜）
小儿动脉瘤样骨囊肿,鹌鹑蛋
尘螨过敏,豆腐
气管梗阻,鸡蛋
产后抑郁症,核桃
拇指掌指关节尺侧侧副韧带损伤,南瓜子仁
心房内折返性心动过速,鸡肉
胆汁淤积性黄疸,莲子
细菌性阴道病,鹌鹑蛋
癔症,鸡心
其他弧菌感染,鹅
踝关节软骨损伤,青豆
先天性少白头,荸荠粉
巨幼细胞性贫血,鹅肉
人工流产,鸡蛋
猛兽伤,鸡肉
恶性黑色素瘤,杏仁
言语和语言发育障碍,绿豆
创伤性鼻中隔穿孔,鸽蛋
穿凿脓肿性头部毛囊炎及毛囊周围炎,芝麻
无脉络膜症,腰果
绿脓杆菌性角膜溃疡,鸡蛋
贫血,莲子
外伤性脑脊液漏,鸡肉
物理性变应性,大豆
咽部结核,鸡肉
