start,end
原发性醛固酮增多症,多尿
化脓性乳腺炎,乳房肿块
肺气肿,肺部啰音
眶骨髓炎,眼睑畸形
病毒性出血热,便血
多胎妊娠,妊娠期的生理变化
盆腔炎性肿块,盆腔肿块
肾性氨基酸尿,氨基酸尿症
心阴虚,失眠
老年期抑郁障碍,认知功能障碍
急性胃肠炎,小儿前囟凹陷
良性前列腺增生,血尿
非器质性冷阴,心理性性功能障碍
中耳气压伤,鼓膜充血
心包间皮瘤,心包填塞
颈腰综合征,被迫体位
颅内低压综合征,头昏
小儿无甲状腺性克汀病,肌肉肥大
老年人泌尿系结石,恶心
胸椎黄韧带骨化症,感觉障碍
结核性溃疡,肉芽肿
颌骨造釉细胞瘤,牙移位
女性尿瘘,湿疹
肺不张,肺栓塞
小儿肾上腺皮质功能不全,昏迷
小儿先天性肝囊肿,内出血
颈椎骨折脱位,颈部强硬
二尖瓣闭锁不全,颈静脉怒张
棘球蚴病,腹泻
晶状体相关葡萄膜炎,肉芽肿
先天性食管闭锁,消瘦
先天性耳聋,耳聋
动脉导管未闭,升主动脉根部环状缩窄
钩虫病,腹部不适
颈动脉狭窄,失眠
新生儿颅内出血,呼吸不规则
散发性脑炎伴发的精神障碍,反应迟钝
惊风,婴儿睡觉惊跳
心脏黏液瘤,肢体栓塞
肾积水,低热
原发性下肢静脉瓣膜关闭不全,下腹部钝痛和酸胀感
坏死性脉管炎,恶心与呕吐
血管性痴呆,猜疑
原发免疫性疾病相关的淋巴增殖性疾病,免疫缺陷
接触性荨麻疹,腹痛
新生儿出血症,休克
海绵窦血栓,恶心
急性失血性贫血,内出血
痧子,结膜充血
炎症相关性青光眼,绿视
气管及食管异物,呼吸困难
肝血管瘤,胀痛
眼眶纤维肉瘤,视力障碍
坏疽性脓皮症,肢端缺血
多发梗塞性痴呆,痴呆
甲型肝炎,心动过缓
考登病中的多发性毛鞘瘤,肢端角化
铬及其化合物引起的皮肤病,鼻中隔穿孔
小儿甲状腺癌,颈部淋巴结肿大
史-约综合征,毒血症
尿道狭窄,驻站医
滴虫性外阴炎,尿频
小儿哮喘性肌萎缩综合征,肌张力减低
胸腺囊肿,纵隔囊肿
妇女咳嗽性遗尿,尿流变细或中断
食管穿孔,胸痛
原发性小血管炎性肾损害,低热
鼻出血,鼻粘膜溃疡
肠道传染病,大便酸臭
桡神经麻痹,写字或拿小物品困难
新生儿心肌炎,发绀
胆石性肠梗阻,结肠梗阻
水臌,腹围增大
妊娠合并急性胆囊炎,休克
腹型偏头痛综合征,儿童头痛
子宫破裂,内出血
肌肉萎缩,小腿肌肉萎缩
单纯性乳腺增生症,乳房肿块
黄曲霉素中毒,灼痛
肠系膜囊肿,胀感
食管腐蚀性灼伤,虚脱
暴痢,腹痛
泪腺分泌功能减退,角膜炎
颊间隙感染,发烧
深海恐惧症,心跳加快
飞扬喉,口腔血泡
胎赤,睡觉时突然抽搐一下
早产儿贫血,心动过速
男性不育症,死精子过多
反射性晕厥,情景性晕厥
小肠原发性恶性淋巴瘤,腹痛
多汗症,剧烈疼痛
传染性单核细胞增多症,斑丘疹
小儿胃肠道异物及异物性肠梗阻,恶心与呕吐
产后伤食,纳差
妊娠合并尿石症,排出结石
股神经痛,代超
小儿腹股沟斜疝,驻站医
脚气,脚痒
色素绒毛结节性滑膜炎,占思乔
裂沟舌,沟裂增宽
脑垂体功能异常伴发的精神障碍,躁狂
成人型女性乳房肥大症,胸廓畸形
恙虫病,肝脾肿大
小儿肺炎链球菌肺炎,烦躁不安
失眠抑郁,认知功能损害
妊娠合并重症肌无力,四肢无力
转换性障碍,非依赖性物质所...
小儿迪格奥尔格综合征,体型异常
弥漫型间皮瘤,体重减轻
Rh血型不合,阻塞性黄疸
皮肤囊肿,继发感染
暴泻,四肢无力
蝶骨嵴脑膜瘤,定位体征
厥证,昏迷
眼睑湿疹,眼睑脓肿
口唇疱疹,口唇潮红
肺结核,湿罗音
卵巢两性母细胞瘤,绝经
脾脏原发性恶性肿瘤,肝脏肿大
肝厥,嗜睡
支气管肺炎,烦躁不安
输卵管妊娠流产,先兆流产
妊娠合并肺结核,胸膜增厚粘连
小儿面肩肱型肌营养不良,半侧面部发育不良
点状骨骺发育异常,鼻梁平塌
Whipple病,腹痛
小儿肺炎链球菌脑膜炎,继发感染
小儿神经管畸形,开放性神经管缺陷
抑郁性神经症,假笑
圣路易斯型脑炎,不明原因发热
狐惑,口苦
阴道炎,阴道粘连
蛛网膜下腔出血,背痛
肾盂肿瘤和输尿管肿瘤,肾内动脉变细或阻塞
老年久病卧床,肌肉萎缩
贲门失弛缓症,呃逆
伊藤痣,浅棕色斑点
胃溃疡,胃火口臭
淀粉样变性,喉弥漫性黏膜肥...
小儿葡萄糖-6-磷酸脱氢酶缺乏症,头晕
转换性障碍,抽搐
淋巴细胞减少症,反复感染
小儿血清病,发烧
小儿埃可及柯萨奇病毒感染,腹泻
中性白(粒)细胞减少症,低热
链球菌性咽炎,颈部淋巴结肿大
高血压病伴发的精神障碍,谵妄
慢性子宫内膜炎,原发性痛经
自身红细胞过敏性紫癜,复视
失血性休克,血液呈现浓缩
小儿颅内肿瘤,颅缝过早闭合
功能性下丘脑性闭经,青春前期闭经
双侧先天性肾上腺皮质增生,睾丸萎缩
乏特壶腹周围癌,休克
副流行性感冒,流鼻涕
暴泻,腹泻
流产,子宫移位
预激综合征,心动过速
红皮病,肝肿大
老年人颅内压增高,脑转移
神经鞘黏液瘤,丘疹
硬肿症,胸腔积液
心源性哮喘,月经推迟
小儿溶血性贫血,循环衰竭
血红蛋白D病,慢性贫血
椎管内结核瘤,血沉增快
小儿维生素B1缺乏病,腹痛
痰厥,胸闷
小儿髓母细胞瘤,骨缝分开
胸、腰椎椎体单纯性、楔形压缩骨折,脊突叩痛
骶骼筋膜脂肪疝,坐骨神经痛
脊椎病,视力障碍
老年人多发性骨髓瘤,血小板减少
非典型麻疹综合征,丘疹
卵巢恶性中胚叶混合瘤,异常子宫出血
牙龈炎,牙齿发黑
空洞型肺结核,盗汗
血管炎性周围神经病,幻味
胰腺炎,发热伴有腹痛、...
小儿松果体区肿瘤,光反射消失
婴儿黑矇性痴呆,抽搐
压迫性视神经病变,眼角膜反射消失
发热伴血小板减少综合征,腹泻
特发性脊柱侧凸,骨质疏松
脂肪肝,肝脏肿大
组织细胞吞噬性脂膜炎,结节
肾虚眩晕,晕轮效应
溃疡性口腔炎,口腔黏膜溃疡
腘肌腱损伤,膝关节不能完全伸直
脑蛛网膜下腔出血,偏盲偏身感觉障碍
胃粘膜脱垂症,腹胀
上气道梗阻,气道变窄
甲状旁腺功能减退性心肌病,Q-T间期延长
妇女多毛症,阴蒂肥大
硫化血红蛋白血症,头晕
小儿巨大膀胱-巨大输尿管综合征,脓尿
妊娠性心肌梗死,心绞痛
代谢性酸中毒,心动过缓
增龄性黄斑变性,疲劳
大网膜肿瘤,腹部逐渐胀大
传染性脓疱病,丹毒
胃损伤,休克
急性脓胸,胸闷
埃可病毒疹,疱疹
聤耳,苔黄腻
孤立性直肠溃疡综合征,下腹痛
意识障碍,无动性缄默
鼻窦创伤,鼻窦压痛
先天性性联无γ-球蛋白血症,反复感染
亨廷顿病性痴呆,被害妄想
小儿选择性免疫球蛋白A缺乏症,休克
一度房室传导阻滞,气短
格斯特曼综合征,震颤
老年人缺铁性贫血,乏力
橄榄体脑桥小脑萎缩,共济失调
郁证,情志内伤
大肠梗阻,腹痛伴恶心、呕吐
水杨酸类中毒,惊厥
细粒棘球蚴病,门脉高压
甲状腺结节,声音嘶哑
小儿埃莱尔-当洛综合征,反复出血
泌尿生殖系棘球蚴病,囊肿
铜绿色假单胞菌肺炎,呼吸困难
小儿变形性肌张力障碍,惊厥
小脑扁桃体疝,脊髓受压
赤脉贯布,流泪
类鼻疽,咯血
颈动脉体瘤,头晕
眼类肉瘤病,葡萄膜炎
妊高征,上腹不适
慢性支气管炎,气短
川崎病,心动过速
母儿血型不合溶血病,核黄疸
间断脉冲噪音损伤,耳鸣
病毒性心肌炎,心尖搏动弥散
卡氏肺囊虫肺炎,腹泻
新生儿反应低下,无力
脑膜炎球菌血症,败血症
肾虚腰痛,驼背
肾动脉粥样栓塞,肾动脉阻塞
缺血性肠绞痛,腹泻
老年性心瓣膜病,心瓣膜病变
银杏中毒,腹痛
原发性硬化性胆管炎,胆总管结石
血友病,骨质破坏
遗传性出血性毛细血管扩张,咯血
小儿结节性硬化症,智力发育迟缓
新生儿巨细胞病毒感染,视神经萎缩
鸟枪弹样视网膜脉络膜病变,色觉异常
膝关节损伤,膝关节疼痛
过敏性血管炎和肉芽肿病,腹泻
老年人神经梅毒,生殖泌尿道危象
老年人糖尿病周围神经病,细菌感染
滑囊炎,手腕部米粒大小...
颅内生殖细胞瘤,反应迟钝
膀胱癌,腰酸
放线菌病,驻站医
婴儿闷热综合症,昏迷
桡骨下端骨折,腕关节桡侧部位的疼痛
运动神经元病,吞咽困难
腕管综合征,胳膊疼痛
淤积性皮炎,小腿水肿
静脉炎,局部静脉硬索状
慢性化脓性鼻窦炎,胀痛
小儿脉络丛乳头状瘤,脑积水
咽后脓肿,拒食
复发性疱疹,丘疹
性心理障碍,精神障碍
遗传性凝血因子ⅩⅢ缺乏,拔牙后出血不止
肺结核,败血症
泌尿生殖系损伤,血尿
创伤性膈疝,休克
蟹睛,瞳孔变形
厥证,面色苍白
遗传性血色病,肝肿大
垂体卒中,复视
甲状旁腺功能亢进,骨痛
心律失常,无法数清每分钟...
小儿病毒性肺炎,脓痰
工业中毒所致的精神障碍,鼻出血
老年人原发性肝癌,肝掌
女劳疸,手热
膀胱腺癌,溃疡
痉挛性斜颈,驻站医
慢性单纯外伤性腰腿痛,腿前内侧出现感觉异常
胃肠道外瘘,腹腔感染
肺炎链球菌性肺炎,肺纹理增多
纵隔畸胎瘤,呼吸困难
胆结石,消化不良
腭咽闭合不全,软腭有疤痕
脑发育不良,肢体障碍
尿道下裂,阴茎样尿道
大泡性角膜病变,眼结膜水肿及角膜溃疡
结核性心包炎,盗汗
空气栓塞,呼吸困难
热中,仝超
霍乱,失水
唇舌水肿及面瘫综合征,听觉过敏
口腔单纯性疱疹,驻站医
老年人短暂性大脑缺血性发作,耳鸣
甲状旁腺功能亢进,驻站医
外阴恶性横纹肌样瘤,瘙痒
小儿戈谢病,肝功能异常
蛛网膜下腔出血,恶心
睥翻粘睑,睑外翻
皮样表皮样囊肿,感觉障碍
小儿糖原贮积病Ⅴ型,横纹肌溶解
囊痈,脓肿
甲状腺相关眼病,眼干
异物肉芽肿,组织坏死
肾上腺囊肿,四肢无力
膝关节创伤性滑膜炎,膝关节肿胀积血
神经症,疲劳
小儿屏气发作,气喘
恶性高血压,血压高
胸壁深部软组织感染,畏寒
前列腺异位,闫铁
酸碱灼伤,剧烈疼痛
弹性假黄瘤,染色体畸形
小儿急性气管支气管炎,胸痛
褶烂,闫利霞
巨大胎儿,隐性产后出血
外伤性脾破裂,休克
狐臭,郏帮芹
肾母细胞瘤,囊肿
颅内静脉血栓形成,败血症
近视,豹纹状眼底
闭合性脑外伤,休克
小儿糖原贮积病Ⅵ型,血脂异常
慢性疲劳综合症,头晕
子宫内翻,下腹坠痛
肾髓质囊性病,囊肿
小儿慢性淋巴细胞性甲状腺炎,甲状腺肿大
曲霉病,呛咳
沙门氏菌性肺炎,咳嗽
妊娠期急性肾功能衰竭,抽搐
支气管病,脓痰
大肠恶性淋巴瘤,粪柱变形变细
腺病毒性肺炎,毓卓
重症院内获得性肺炎,肺部啰音
苍耳中毒,血压下降
无功能垂体腺瘤,脑脊液鼻漏
慢性反流性肾病,腹痛
先天性食管狭窄,生长缓慢
阴道鳞状上皮癌,鳞状细胞癌
中枢神经系统白血病,三叉神经一二支...
懒惰白细胞综合征,衣玉品
缢死,眼球上翻并固定
多中心性网状组织细胞增生症,类风湿关节炎
无泪症,泪腺不发达
肾积水,恶心
青少年癫痫,抽搐
高钠血症,低血钾
小儿肠吸收不良综合征,食欲不振
结肠损伤,中毒性巨结肠
性功能异常伴发的精神障碍,意识障碍
记忆障碍,精神障碍
阴道鳞状上皮癌,泡样水肿
克罗伊茨费尔特-雅各布病,忧郁
原发性鼻腔淋巴瘤,淋巴结肿大
原发性小血管炎性肾损害,衣玉品
重度脂肪肝,肝脏肿大
妊娠合并卵巢肿瘤,恶病质
慢性支气管炎,块状痰
婴儿及儿童期癫痫及癫痫综合征,窒息
抽搐与惊厥,驻站医
泌尿感染,尿痛
胃轻瘫综合征,胃排空延缓
甲状舌骨囊肿与瘘,咽部异物感
鼻咽血管纤维瘤,耳闷
小肠实热,尿急
绝经与抑郁症,便秘
肱骨髁上骨折,前臂短缩
膀胱炎,腰痛伴尿频、尿...
肛周湿疹,鳞屑样痂皮
羊水栓塞,乏力
慢性细菌性前列腺炎,头晕
小儿支气管肺炎,发绀
溃疡性结肠炎,腹泻
慢性子宫内膜炎,钝痛
皮肤弓形体病,猩红热样皮疹
冲浪者结节,表皮角化
胃切除后吸收不良综合征,胃酸减少
青春期厌食症,情绪性厌食
风热头痛,中度或轻度头痛
裂头蚴病,结节
血栓性静脉炎,疼痛性股白肿
低钙血症和低镁血症,谵妄
黄褐斑,色素异常
遗传性凝血因子Ⅹ缺乏,拔牙后出血不止
顶叶肿瘤,偏盲
过敏性鼻炎,气喘
胆管良性狭窄,上腹部疼痛
上睑下垂,眼睑松弛
心房扑动与心房颤动,心悸
脊椎化脓性骨髓炎,低热
神经鞘源性肿瘤,胸闷
变形杆菌食物中毒,便血
煤炭工尘肺,呼吸音粗糙
恙虫病,剧烈头痛
巴尔通体病,昏迷
肛周湿疹,肛周皮肤潮红
口唇疱疹,口唇周围麻木感刺痛
CM1神经节苷脂贮积症,短颈
非梭状芽胞杆菌肌坏死,坏疽
外阴炎,外阴起疙瘩
脉络膜出血,剧烈疼痛
输尿管结核,血尿
广泛性焦虑障碍,尿急
眼眶脓肿,眼球突出
桡骨干下1/3骨折合并下尺桡关节脱位,肩关节活动受限
常染色体显性多囊肾,脓尿
上睑下垂,器质性弱视
II型肾小管性酸中毒,便秘
泪腺肿瘤,眼球不能随意动
老年人巨幼细胞性贫血,腹胀
血清抗精子抗体阳性之不孕症,抗精子抗体阳性
老年人胃癌,黑便
松果体细胞瘤,多饮
肩-手综合征,手酸
蛔虫性急性胰腺炎,胰源性腹痛
闭锁肺综合征,发绀
网膜扭转,板状腹
寻常痤疮,鼻头长痘
先天性肠狭窄,十二指肠狭窄
肋锁综合征,紫绀
气虚眩晕,晕车
手外伤,手指撞伤
麻风性角膜病变,覃初丹
蛔虫性肠梗阻,肠鸣
外耳道耵聍腺肿瘤,听力下降
副溶血孤菌肠炎,深黄色或带绿色...
严重肝病引起获得性凝血因子异常,黑便
小儿帕套综合征,虹膜缺损
焦磷酸钙沉积病,骨质破坏
原发性高血压,头胀
胆道运动功能障碍,胆囊壁纤维化
乳房单纯囊肿,代超
腰腿痛,大腿刺痛
胃梅毒,消瘦
肠结核,肠鸣
郎-奥韦综合征,腹痛
摩根菌肺炎,呼吸衰竭
慢性细菌性痢疾,排便频率异常
咽异感症,咽喉部干燥刺痒
喉气管食管裂,呼吸困难
涎腺混合瘤,生长缓慢
营养代谢疾病伴发的精神障碍,衰弱
预激综合征,心悸
毛细血管或静脉血栓形成,静脉血栓
小儿呼吸道合胞病毒肺炎,三凹征
赖氏综合征,意识障碍
肝脏血管瘤,消化不良
食管炎,噎痛感
肝性血卟啉病综合征,恶心
多种抽动综合征,抽搐
髓母细胞瘤,腹腔种植
非典型纤维黄色瘤,结节
消中,消瘦
先天性肝纤维化,腹痛
老年人上消化道出血,便血
Brenneman综合征,腹痛
胆道张力低下综合征,胆囊收缩功能不良
肠侵袭性大肠埃希杆菌感染,里急后重
妊娠合并甲状腺功能减退,驻站医
小儿嗜血流感杆菌肺炎,啰音
老年人脱水,低钠血症
鼻中隔偏曲,鼻出血
舌下神经损伤,口涩
短暂性大脑缺血性发作,血液粘滞度增高
乳溢,月经稀少
唇风,衣玉品
尿道黏膜脱垂,尿道口疼
儿童股骨头坏死,髋关节脱位
妊娠合并缺铁性贫血,脱发
急性肾炎综合征,血尿
脓毒症和菌血症,稽留热
感染性血小板减少性紫癜,碰撞后皮肤容易青紫
前列腺脓肿,脓尿
大楼病综合征,鼻塞
阿尔采末病,健忘性失语
泌尿生殖系血吸虫病,性欲减退
肺栓塞和肺梗死,体肺循环栓塞
阵发性室上性心动过速,面色青灰
炎症性肠道疾病及其伴发的葡萄膜炎,恶心
黄疸性肝炎,肝脏肿大
外阴汗管瘤,胀感
回归热,衣玉品
肝腺瘤,剧痛
晚期产后出血,蜕膜残留
胰石症,剧痛
子宫破裂,烦躁不安
新生儿流行性腹泻,食欲不振
Friedreich共济失调症,感觉性共济失调步态
腹绞痛综合征,腹部压痛
昏迷,呼吸不规则
颅内出血,呼吸困难
格林－巴利综合征,吞咽障碍
Stargardt病,视力障碍
异尖线虫病,腹痛
低血糖综合征,餐后综合征
先天性梅毒性肝硬化,肝功能衰竭
肺静脉异位引流,呼吸困难
臀先露,胎儿不完全臀先露
缺血性视盘病变,眼痛
新生儿肝脾肿大,肝大而硬
输卵管结核,消瘦
慢性髓细胞白血病,脾肿大
肝破裂,内出血
血痹,肢体局部的皮肤...
脊柱侧凸,脊柱的成角畸形
生长激素缺乏症,隐睾
老年久病卧床,肌肉挛缩
过期妊娠,子宫高度低于妊娠周数
先天性性联无γ-球蛋白血症,血管性水肿
肱二头肌长头腱鞘炎,肌腱囊肿
食管结核,结核中毒
鳃裂瘘管,耳内流脓
回归热,肝脾肿大
老年人脊髓压迫症,机械性压迫
主动脉肠道瘘,乏力
兽咬伤,抽搐
特发性高嗜酸性细胞综合征,盗汗
沙眼,流泪
梦游症,烦躁不安
颅内转移瘤,感觉障碍
妊娠合并白血病,淋巴结肿大
会阴裂伤,会阴部牵引痛
副伤寒,肥达反应阳性
微病毒B19感染性风湿病,晨僵
食管类癌,吞咽干食物时胸...
小儿肺出血-肾炎综合征,疲乏
风轮湿热,稀便
过敏性鼻炎,侧卧时位于下侧...
婴儿肉毒中毒综合征,反应迟钝
新生儿头颅血肿,头颅向上生长呈塔形
老年人稳定型心绞痛,臂痛
痃癖,腹部肿块
良性脑瘤,呕吐
小儿药物性皮炎,脓疱
动静脉血管瘤,动静脉短路现象
勒夫勒心内膜炎,血栓脱落
肺吸虫病,咯血
新生儿休克,血压下降
颅狭症,颅缝过早闭合
痱子,深痱
乳发,便秘
鼻息肉,鳞状上皮
眼眶血管外皮瘤,视力障碍
小儿衣原体肺炎,胸痛
磷中毒,腹痛
脑蛛网膜下腔出血,恶心
乳发,脓肿
微病毒B19感染性风湿病,厌食
主动脉瓣狭窄,猝死
脾良性肿瘤,气急
寒湿困脾,舌苔薄白
肠道菌群失调症,腹鸣
食道溃疡,恶心与呕吐
小儿两性畸形,两性畸形
小儿锌缺乏症,腹泻
希尔德病,痴呆
小儿卵巢肿瘤,尿中雌激素增高
女性的青春期延迟,继发性闭经
下颈椎不稳症,颈部僵硬
妊娠合并肺结核,死胎
重症院内获得性肺炎,活动后气促
异常血红蛋白病,腹泻
蛋白尿,血尿伴蛋白尿
眼底血管样条纹,视力障碍
手足发绀症,手与手指胀满感
小儿急性中毒,抽搐
旋毛虫病,恶心
高渗性非酮症性糖尿病昏迷,意识障碍
肝肺综合征,紫绀
缩窄性心包炎,下肢水肿
皮肤幼虫移行症,结痂
老年人播散性血管内凝血,便血
腔隙性脑梗死,三叉神经分布区麻木感
霍乱,头昏
深脓疱病,淋巴结肿大
荨麻疹型药疹,蛋白尿
柞蚕蛹脑病,抽搐
小儿血管免疫母细胞淋巴结病,食欲不振
老年人酒精性肝病,恶心
炭疽病,胸痛
小儿颅脑损伤,嗜睡
海鱼分枝杆菌感染,丘疹
子宫破裂,腹痛伴休克
甲状腺功能减退,便秘
猴痘,疲乏
细菌性肺炎,呼吸困难
原发性椎管内肿瘤,背痛
急性单纯性咽炎,耳痛
巨细胞病毒性葡萄膜炎,小头
舌病,脓肿
网膜炎,耳顶线以下至发...
脂蛋白肾小球病,肾小球旁器增生
急性心肌梗死,心肌坏死广泛
中毒性眩晕,醉酒
妊娠合并急性肾小球肾炎,血尿
输卵管妊娠,下腹坠痛
咽旁脓肿,精神萎靡
升主动脉瘤,胸廓畸形
胃神经纤维瘤,黑便
炎症相关性青光眼,虹膜异色
背痈,胸痛
脑蛛网膜下腔出血,背痛
早搏,心搏漏跳
老年眩晕,旋转性眩晕
妊娠合并红细胞增多症,鼻出血
隐斜视,恶心
急性硬脑膜外血肿,剧烈头痛
