start,end
儿童学习能力障碍,颅脑MRI检查
尿瘘,靛胭脂试验
外阴丹毒,血液电解质检查
小儿细胞外胆固醇沉着综合征,肝脏超声检查
色素性青光眼,眼球和眼眶的超声检查
非溃疡消化不良,尿常规
乳突炎,乳突
白细胞减少症,中性粒细胞计数（NEUT）
棘阿米巴性巩膜炎,巩膜透照
原发性单克隆免疫球蛋白病,蛋白电泳
纵隔气肿,血常规
创伤性鼻出血,鼻咽部MRI检查
先天性胆道闭锁,溶血试验
老年心肌病,胸部平片
马蹄形肾,肾脏超声检查
小儿黏多糖贮积症,脑电图检查
反社会人格障碍(病态人格),颅脑超声检查
掌跖脓疱病,皮肤斑贴实验
维生素E缺乏神经病,血液电解质检查
眼弓蛔虫病,血清免疫球蛋白测定
小儿狼疮肾炎,核磁共振成像(MRI)
软下疳,浆细胞
弥漫性食管壁内憩室,CT检查
虫积,腹部平片
遗传性共济失调,脑电图检查
虚寒咳嗽,肺和胸膜叩诊
胃肠道功能紊乱,肠镜
小儿预激综合征,便常规
坐骨神经损伤,CT检查
先天性风疹综合征,白细胞分类计数
放射性肠炎,乙状结肠镜检查
小儿咳嗽,气道过敏试验
膀胱不发育与发育不全,腹部平片
小儿赖氏综合征,脑脊液乳酸
肺纤维化,肺活检
头外伤,颅脑CT检查
老年人消化性溃疡,涂片
心肌炎,血清r-谷氨酰基转移酶
冷球蛋白血症肾损害,血清冷球蛋白
新生儿坏死性小肠结肠炎,维生素K(VitK,VK)
蛔虫性肠梗阻,直接涂片检查
梭状芽胞杆菌伤口感染,脓汁和创伤感染标本细菌学检查
鳞状细胞癌,鳞状上皮细胞癌抗原（SCC）
儿童焦虑症,心电图
小儿周期性高血钾性麻痹,肌张力检查
位置性眩晕,前庭功能检查
新生儿肾静脉血栓,腹部平片
小儿尿崩症,尿渗透压
过敏性结肠炎,腹部透视
慢性心包炎,CT检查
夹色伤寒,血常规
海鱼分枝杆菌感染,细胞组织化学染色
诺瓦克病毒性胃肠炎,粪便显微镜检查
淋球菌感染,药敏试验
幼年型皮肌炎,四肢的骨和关节平片
镁缺乏症,血清镁
附睾炎,尿常规
黏多糖贮积症Ⅱ型,尿常规
周期性四肢运动障碍,神经系统核医学检查
胫腓骨骨折,X线碘油造影
淀粉样变性,免疫电泳
小儿特发性血小板减少性紫癜,尿常规
脑炎后遗症,脑电图检查
青少年及小儿子宫颈癌,涂片
胎死不下,便常规
葡萄糖-6-磷酸脱氢酶缺乏症,红细胞葡萄糖-6-磷酸脱氢酶活性
膝关节退行性病变,滑液检查
维生素D缺乏性手足抽搐症,血液生化六项检查
小儿非内脂性网状内皮增殖综合征,腹部平片
小儿动脉肝脏发育异常综合征,心血管造影
听神经瘤,血管造影
营养障碍性多发性神经病,血常规
毒性弥漫性甲状腺肿,基础代谢
牙齿过敏,牙髓温度试验（冷热诊）
恒定性外斜视,眼底检查
输卵管炎,生育镜
霍奇金淋巴瘤,四肢的骨和关节平片
小儿糖吸收不良,半乳糖耐量试验
头癣,直接涂片检查
腰椎椎管狭窄症,跟臀试验
小儿干扰素-γ受体缺陷病,肿瘤坏死因子α
小儿透析失衡综合征,心电图
垂体危象与垂体卒中,精液检查
皮炎芽生菌,直接涂片检查
外阴烧伤、烫伤和化学损伤,阴道镜检查
小儿家族性低血磷性佝偻病,维生素D
慢性胃炎,无痛胃镜
巨细胞动脉炎,皮损
石油、煤焦油及其分馏产物所致的皮肤病,皮肤涂片显微镜检查
小儿不对称身材-矮小-性发育异常综合征,胸部平片
细菌性皮肤病,皮肤病的物理检查
阿片中毒,尿常规
咽喉癌,鼻咽部MRI检查
糖尿病性周围神经病,F-波
月经不调,妇科常规检查
杀鼠剂中毒,大生化检查
先天性心脏病,血红蛋白浓度（HGB）
主-肺动脉隔缺损,血氧含量
甲醇中毒,大生化检查
血管性帕金森综合征,尿常规
急性硫化氢中毒,血常规
癫痫,脑电图检查
胸腺小细胞癌,便常规
支气管源性囊肿,支气管造影
阴虱病,皮肤涂片显微镜检查
小儿后颅窝型脑积水综合征,CT检查
小儿视网膜母细胞瘤,血管造影
原发性硬化性胆管炎,肝、胆、胰、脾的MRI检查
胆囊类癌,胆囊胆道B超检查
宫颈浸润癌,鳞状上皮细胞癌抗原
喉角化症,鼻咽部MRI检查
雪盲,视力
嘧啶5′-核苷酸缺乏症,血浆因子XIII缺乏筛选试验
脑缺血性疾病,造影检查
泌尿道肿瘤皮肤转移,CT造影增强扫描
鼻肿瘤,耳鼻咽喉CT检查
小儿甲状腺癌,降钙素
胃痉挛,胃肠道CT检查
狂病,便常规
小儿室间隔完整型肺动脉闭锁,胸部CT检查
新生儿湿肺,胸部CT检查
骶骼筋膜脂肪疝,CT检查
慢性颈部软组织损伤,X线碘油造影
颈动脉体瘤,超声内镜检查
腰椎间盘突出,脊柱活动度
老年人急性呼吸窘迫综合征,血液电解质检查
肾皮质脓肿,尿液分析
胆囊-结肠肝曲粘连综合征,胆道镜检查
何杰金病,胸部平片
原发性骨髓纤维化,基础代谢
乳汁吸入性肺炎,血常规
椎管内脊膜瘤,脑脊液蛋白定性
原发性下肢静脉瓣膜关闭不全,大隐静脉瓣膜功能试验
登革出血热,抗登革病毒IgG抗体
带状疱疹性角膜炎,结膜的检查
钩虫皮炎,痰液病原体检查
结肠炎,血常规
先天性风疹,抗风疹病毒抗体(RuV)
慢性疲劳综合症,血液电解质检查
小儿韦格纳肉芽肿,自身免疫抗体检测
多发性内分泌腺瘤Ⅱ型,三碘甲状腺原氨酸（T3）
硒及其化合物引起的皮肤病,全血硒
前庭大腺囊肿,阴道触诊
三环类抗忧郁药中毒,神经系统检查
乳发,乳房穿刺针活检
获得性高脂蛋白血症,血清载脂蛋白a测定
小儿先天性肌强直综合征,便常规
新生儿皮下脂肪坏死,真菌组织病理学
血小板促凝活性异常,尿常规
中气不足,便常规
小儿完全性肺静脉异位连接,心血管造影
产力异常性难产,胎产式
肘关节强直,四肢的骨和关节平片
十二指肠平滑肌肉瘤,内镜检查
小儿黄水疮,涂片
糖尿病酮症酸中毒,甘油三酯
儿童精神分裂症,脑电图检查
先天性巨细胞包涵体病,补体结合试验
小儿纯红细胞再生障碍性贫血,叶酸
高血压脑病,颅脑CT检查
诺卡菌病,脑脊液细菌培养
矮小症,血常规
上气道梗阻,气管吸引术
肛窦炎及肛乳头炎,肛门指检
男性生殖系结核,尿常规
佝偻病,维生素D
小儿睾丸扭转,尿常规
小儿支原体肺炎,心电图
完全性大动脉错位,心电图
月经过多,妇科超声检查
小儿水杨酸盐类中毒,尿常规
小儿扩张型心肌病,尿常规
小脑脑桥角脑膜瘤,闭目难立征
小儿脊髓前动脉综合征,血常规
老年人心肌梗死,血清肌酸激酶同工酶（CKI）
卵巢纤维瘤病,阴道分泌物检查
不动纤毛综合征,胸部透视
嗜酸性脓疱性毛囊炎,血常规
遗传性乳光牙,口腔内窥镜
先天性巨尿道症,膀胱造影
维生素K缺乏病,复钙时间
隐睾,阴囊超声检查
法洛三联症,胸部平片
小儿爱德华兹综合征,尿常规
脊髓性肌萎缩,震动觉
视网膜炎,眼底检查
农民肺,肺活检
钙化性肌腱炎,肩关节外展试验
红斑狼疮,狼疮细胞
外阴神经性皮炎,血常规
肛管直肠恶性黑色素瘤,免疫病理检查
小儿先天性白细胞颗粒异常综合征,骨髓象分析
肺并殖吸虫病,脑脊液的显微镜检查
无睾症,腹腔镜
软腭癌,耳鼻咽喉CT检查
滴虫性阴道炎,阴道滴虫检查
新生儿柯萨奇病毒B感染,多普勒超声心动图
皮炎,维生素B3
丑胎,Ⅱ级产前超声检查
口蹄病,细胞组织化学染色
骨结核,涂片
鼻窦粘液囊肿,耳鼻咽喉CT检查
肝气不舒,尿常规
乳腺疾病,钼靶照相
小儿高热,血管造影
小儿部分性肺静脉异位连接,胸部MRI
小儿内脏幼虫移行症,胸部平片
痰积,便常规
贫血,血液学特殊功能检查
外阴颗粒性肌母细胞瘤,血常规
肺静脉异位引流,核磁共振成像(MRI)
造口旁疝,维生素
烧伤后急性肾功能衰竭,尿常规
过期妊娠,胎盘分级
心阴虚,尿常规
夏季皮炎,细胞组织化学染色
小儿神经性贪食,血液电解质检查
垂痈,口腔内窥镜
眼眶肌炎,眼睑肌力测量计
新生儿Wilson-Mikity综合征,尿常规
原发性下肢静脉瓣膜关闭不全,血管杂音
小儿视神经胶质瘤,颅脑CT检查
复发性溃疡,胃镜
空肠弯曲菌肠炎,便常规
外伤性脑膜炎,腰椎穿刺
先天性髋关节外展挛缩和骨盆倾斜,髋膝屈曲试验
抗-HCVAg阳性,血液检查
急性侵袭型肺曲霉病,胸部平片
胃食管反流病,食管24hpH监测
眼丹,眼外部检查
胰腺囊腺瘤和囊腺癌,涂片
病毒性肠炎,小肠镜检查
寒湿困脾,便常规
糖尿病伴发的葡萄膜炎,眼科检查
老年人慢性肾盂肾炎,肾图检查
c胰岛功能性β细胞瘤,葡萄糖耐量试验
地方性克汀病,抗甲状腺抗体
小儿外部性脑积水,头颅平片
特发性息肉样脉络膜血管病变,光学相干断层扫描（OCT）
先天性睾丸发育不全,精液检查
老年人甲减性心脏病,叶酸
慢性筛窦炎,鼻腔内镜检查
胸痹心痛,血常规
眼眶脓肿,核磁共振成像(MRI)
膀胱损伤,腹腔穿刺
小儿淋巴细胞间质性肺炎,浆细胞
疖,白细胞分类计数
疱疹,皮肤病的物理检查
妊娠高血压综合征,血小板第Ⅳ因子
肠结核,粪特里布累
贝壳甲综合征,骨与关节MRI检查
继发性化脓性腹膜炎,涂片
鼻中隔穿孔,耳鼻咽喉CT检查
小肠类癌,5-羟色胺
胃轻瘫综合征,内镜检查
新生儿持续性肺动脉高压,多普勒超声心动图
生长激素缺乏症,精氨酸兴奋GH试验
产后甲状腺炎,过氯酸盐释放试验
苔藓样念珠状疹,皮肤弹性检查
阿米巴结肠炎,肠镜
蚕食性角膜溃疡,类风湿因子
Felty综合征,腹部CT
低增生性急性白血病,涂片
新生儿ABO溶血病,血液检查
老年人心脑综合征,心电图
不孕不育,腹腔镜
桡骨茎突部狭窄性腱鞘炎,握拳尺偏试验
腹膜转移癌,腹腔穿刺
川崎病,类风湿因子
无睾症,男性不育HCG刺激试验
心包间皮瘤,多普勒超声心动图
小儿面肩肱型肌营养不良,血液生化六项检查
肺门淋巴结核,胸部透视
胞痹,尿常规
暴发性肝衰竭,血浆凝血酶检测
心血管疾病伴发的精神障碍,心血管疾病的超声诊断
挤奶者结节,真菌组织病理学
肘关节强直与纤维性僵硬,肱桡肌肌力试验
新生儿先天性膈疝,体位
巨大肥厚性胃炎,胃超声检查
食管炎,上消化道内窥镜检查
肾动脉粥样栓塞,肾脏超声检查
腰疝,腹部CT
眼球运动障碍,颅底片
肌萎缩侧索硬化症,磷酸肌酸激酶
急性失血所致贫血,血小板计数（PLT）
肠胃炎,粪便白细胞
腰椎小关节不稳症,脊椎平片
眶下间隙感染,眼球及眼眶检查法
非细菌性血栓性心内膜炎,M型超声心动图（ME）
骶骨骨折,骨与关节MRI检查
血小板型假性血管性血友病,血管性血友病因子抗原（vWF:,Ag）
极外侧型腰椎间盘突出症,鞠躬试验
肺风粉刺,血常规
链球菌感染后的急性肾小球肾炎,肾功能检查
肺错构瘤,胸部平片
龋齿,儿童龋齿预防保健
小儿真菌性肺炎,耳、鼻、咽拭子细菌培养
原发性肝癌,血清5'-核苷酸酶（5'-NT）
结核性葡萄膜炎,血管造影
小儿颅内肿瘤,血管造影
小儿白细胞黏附分子缺陷Ⅱ型,血清免疫球蛋白测定
汗证,甲状腺、甲状旁腺的超声检查
Behcet病,血管造影
先天性肺囊肿,肺功能检查
幼年型类天疱疮,皮肤斑贴实验
小儿迷路水肿-耳性眩晕综合征,颅脑CT检查
出血性输卵管炎,腹腔镜
食管念珠菌感染,食道X线钡餐检查
急性腹泻,便常规
子痫,尿微量清蛋白（mA1B）
小颌畸形综合征,多普勒超声心动图
小儿扩张型心肌病,胸部平片
实喘,肺功能检查
功能性消化不良,尿常规
二尖瓣关闭不全,心电图
猩红热,抗溶血性链球菌“O”试验
放射性肾炎,血液生化六项检查
精索静脉曲张,阴囊超声检查
角膜炎,泪液β2-微球蛋白
棘突骨折,脊柱椎体平扫
小儿急性喉炎,间接鼻咽镜
脐带脱垂,胎心监护
前房积血与青光眼,裂隙灯
胸廓出口综合征,脊柱检查
酒渣鼻,皮损
蓝鼓膜与胆固醇肉芽肿,耳的一般检查法
小儿病毒性心肌炎,肌钙蛋白
胫骨后唇骨折,CT平扫
肠气肿综合征,纤维肠镜
冲动型人格障碍,颅脑CT检查
鼻源性头痛,前鼻镜检查
滑脱性肋骨综合征,心电图
小儿丙酸血症,尿苯丙酸试验
小儿Alstrom综合征,羊水生化检查
叶酸缺乏神经病,CT检查
锥虫病,血液检查
外伤后脑脂肪栓塞,痰液常规检查
小儿血管性血友病,涂片
胆管结石与胆管炎,肝、胆、脾CT检查
先天性白内障,尿常规
急性胆管炎,肝脏疾病超声诊断
小儿黄疸肝脏色素沉着综合征,直接胆红素
男假两性畸形,睾丸活检
剥脱综合征,细胞组织化学染色
胸壁结核,结核杆菌的抗原、抗体检查
低钙血症,CT检查
口腔颌面部血管瘤,血管造影
老年性慢性硬膜下血肿,头颅平片
乏特壶腹周围癌,肝、胆、脾CT检查
溶组织内阿米巴病,涂片
小儿先天性外胚层发育不良综合征,四肢的骨和关节平片
幽门梗阻,胃总酸度测定
先天性仰趾外翻足,X线碘油造影
尼兹诺夫综合征,自身免疫抗体检测
肠系膜囊肿,腹部平片
小儿抗利尿激素分泌异常综合征,心电图
淋菌性尿道炎,尿常规
肝外胆管损伤,腹腔穿刺
显微型多血管炎,血液检查
流痰,尿常规
窦性心律失常,心电图
阴挺,盆腔和阴道B超
腰椎椎管狭窄症,脊柱运动试验
药物性心肌病,心电图
新生儿呼吸窘迫综合征,肺部检查
尿道憩室,尿液细菌培养
磨损,口腔X光片检查
多汗症,尿常规
肠系膜血管缺血性疾病,腹部平片
呼吸性细支气管炎间质肺病,胸部CT检查
小儿肺炎链球菌肺炎,血清学反应
胃梅毒,胃钡餐造影
老年人间质性肺炎,小气道功能
复发性溃疡,血清钙
胸廓畸形,动态心电图（Holter监测）
遗尿症,泌尿系统CT检查
后发性白内障,视网膜检影法
油漆皮炎,皮肤涂片显微镜检查
脂溢性皮炎,皮肤真菌镜检
胡桃夹食管,食管造影
乳腺脂肪肉瘤,免疫病理检查
类鼻疽,胸部平片
胸壁皮下气肿,尿常规
老年人血栓性疾病,凝血酶时间
帕金森病性痴呆,颅脑CT检查
泌尿生殖系阿米巴病,涂片
闭塞性血栓性脉管炎,磁共振血管造影
肛裂,肛腹诊
骨瘤,骨关节及软组织CT检查
肠扭转综合征,腹部CT
法洛四联症,心血管造影
小儿非内脂性网状内皮增殖综合征,四肢的骨和关节平片
无机盐所致的皮肤病,皮肤涂片显微镜检查
急性弥漫性腹膜炎,腹腔穿刺
拇指再造,血常规
左前分支传导阻滞,心电图
风牵偏视,检眼镜检查法
肝脏外伤,腹腔灌洗试验
慢性纤维性甲状腺炎,甲状腺、甲状旁腺的超声检查
自发性脑室内出血,颅脑CT检查
原发性心脏横纹肌肉瘤,心血管造影
眼睑基底细胞癌,便常规
哮喘,血清免疫球蛋白G亚类
急性杂合性白血病,血常规
稻农皮炎,皮损
小儿家族性低血磷性佝偻病,肾小球滤过率（GFR）
露阴癖,脑电图检查
单侧关节突关节脱位,骨关节及软组织CT检查
手术后膈疝,腹部CT
隐匿性肾小球肾炎,血常规
小网膜囊疝,胆道造影
药物性肝病,血清γ-谷氨酰转肽酶（γ-GTP）
过敏性急性小管间质性肾炎,血液生化六项检查
淋巴细胞性垂体炎,头颅平片
牙髓病,口腔X光片检查
药物性哮喘,气道过敏试验
红细胞增多症眼底,眼底检查
小儿自律性房性心动过速,血氧饱和度(SaO2)
老年人胰腺癌,肿瘤标志物检测
真性红细胞增多症,血氧饱和度
食管中段憩室,食管钡餐透视
中枢神经系统淋巴瘤,头颅平片
肠胃型感冒,胃镜
脑膜炎球菌性脑膜炎,纤维蛋白降解产物
肾上腺性征异常症,腹部体毛检查
关节脱位,肩关节脱位的恐惧试验
