start,end
膀胱上内疝,干腌菜
小儿淹溺,白砂糖
多发性末梢神经炎,白酒
复发性疱疹,啤酒
呼吸衰竭,白扁豆
软骨瘤,白酒
鼻窦粘膜囊肿,鸭血(白鸭)
闭经性头痛,白酒
脾约,海虾
肠系膜上动脉栓塞,白酒
急性蜂窝织炎,咸鸭蛋
手腕扭伤,辣椒(红、尖、干)
痿病,田螺
反流性喉炎,姜
尺骨干骨折,虾皮
膝关节侧副韧带损伤,咸鸭蛋
喉气管食管裂,鸭血(白鸭)
维生素B2缺乏病,螃蟹
脑疝,杏仁
咽炎,绿豆
急性肺炎,猪肉(肥瘦)
远视,白酒
手部伸肌腱损伤,白酒
三尖瓣狭窄,杏仁
盆腔疾病,白扁豆
肠病原性大肠埃希杆菌感染,鸡肝
小儿慢性肾功能衰竭,杏仁
脊柱疾病,鸭肉
阴囊丝虫病,栗子（熟）
呼吸道合胞病毒肺炎,海蟹
膀胱癌,虾皮
非骨化性纤维瘤,鸭血(白鸭)
小儿散发性甲状腺肿,白扁豆
慢性化脓性骨髓炎,红葡萄酒
下部附加前根脊髓动脉缺血症候群,鸡爪
交肠,杏仁
胎儿宫内窘迫,鸡蛋黄
小脑扁桃体下疝,白扁豆
龟头炎,杏仁
小儿色素沉着息肉综合征,螃蟹
荨麻疹和血管性水肿,白酒
奔豚气,咸鱼
肠道肿瘤,红辣椒
小儿急性胆囊炎与胆管炎,赤小豆
阴茎折断,鸭血(白鸭)
心脏黏液瘤,花生仁（炸）
铅中毒引起的溶血性贫血,面肥
诺沃克类病毒胃肠炎,白果（鲜）
鞍上生殖细胞瘤,啤酒
胸内甲状腺肿,咸鸭蛋
三尖瓣闭锁不全,白酒
小儿迪格奥尔格综合征,蛤蜊
小肠下垂,洋葱
胸壁软组织损伤,河蚌
狐惑,鸡蛋
肠系膜肿瘤,黑豆
关节脱位,白扁豆
阿尔采末病,白酒
蛛网膜炎,腐竹
脊椎结核寒性脓肿穿入空腔脏器,腐竹
小儿脆性X染色体,油条
胸腺癌,油豆腐
晶状体脱位所致青光眼,田螺
先天性腓骨缺如,白酒
神经发育迟滞,白酒
肘外翻,螺丝菜
阿米巴性阴道炎,绿豆
肺心病,三文鱼
平滑肌肉瘤,白酒
颈肋综合征,鹿肉
肺泡癌,白酒
真菌性心包炎,咸鸭蛋
先天性肾上腺皮质增生症,杏仁
脊椎结核并发窦道,白扁豆
老年人低血压,松子仁
小肠腺瘤,螃蟹
麻痹性肠梗阻,鸭血(白鸭)
溃疡病大出血,啤酒
上皮样囊肿,鹅肉
手外伤,虾皮
高血压肾病,白酒
糖尿病性肾病,松子仁
热射病,三文鱼
气管肿瘤,白扁豆
乙脑伴发的精神障碍,蜂蜜
鼻源性头痛,鸭血(白鸭)
筛窦炎,咖啡
