start,end
阴道嗜血杆菌性阴道炎,妇科止痒胶囊
髋关节骨关节炎,威灵骨刺膏
膀胱炎,司帕沙星分散片
支气管哮喘,小青龙合剂
纵隔气肿,祛痰止咳胶囊
多汗症,参术儿康糖浆
淋巴结结节病,清热散结片
神经元蜡样脂褐质沉积症,左乙拉西坦口服溶液
小儿选择性免疫球蛋白A缺乏症,pH4
颈椎后脱位,骨筋丸胶囊
婴儿臀部肉芽肿,醋酸氟轻松冰片乳膏
失用症,盐酸多奈哌齐胶囊
赖特综合征,通滞苏润江胶囊
妊娠期甲状腺功能亢进,阿替洛尔片
小肠类癌,司莫司汀胶囊
老年人骨质疏松,三维钙片
假性高血压,苯磺酸氨氯地平胶囊
口水强迫症,卡马西平片
小儿龋病,复方川芎吲哚美辛胶囊
晶状体膨胀所致青光眼,杞菊地黄丸
桡骨颈骨折,接骨七厘片
宫颈浸润癌,甲氨蝶呤片
溢乳闭经综合征,桂枝茯苓丸
肱骨远端全骺分离,跌打丸
小儿疳眼,维生素A软胶囊
骨病,骨质宁搽剂
棉尘肺,盐酸妥洛特罗片
漆疮,百癣夏塔热片
加速性房性逸搏心律,心可舒胶囊
急性气管－支气管炎,头孢氨苄胶囊
非酮症高血糖-高渗性昏迷,乙酰谷酰胺注射液
小儿急性支气管炎,鲜竹沥
膀胱脱垂,血尿胶囊
老年人间质性肺炎,注射用盐酸头孢替安
嗜皮菌病,头孢克洛颗粒
肛门周围癌,消癌平片
银屑病关节炎性巩膜炎,银屑颗粒
水合氯醛中毒,地塞米松磷酸钠注射液
近视,益视颗粒
小儿干扰素-γ受体缺陷病,乌苯美司片
放射性肾炎,呋塞米片
结直肠癌,消癌平片
二硫化碳中毒,十一味金色丸
血稠,苯扎贝特片
硒及其化合物引起的皮肤病,咪康唑氯倍他索乳膏
第四脑室肿瘤,复方阿胶补血膏
小儿中毒型痢疾,儿泻停颗粒
脑外伤伴发的精神障碍,氢溴酸加兰他敏分散片
气管前间隙感染,盐酸左氧氟沙星胶囊
褐黄病性关节炎,阿司匹林肠溶胶囊
B链球菌群感染,头孢拉定胶囊
癫痫持续状态,丙戊酸镁片
淋球菌性结膜炎,红霉素肠溶胶囊
面部偏侧萎缩,甲钴胺分散片
产后痉症,盐酸左氧氟沙星片
急性全自主神经失调症,天麻素片
口腔粘膜黑棘皮病,珍珠层粉
食管类癌,去甲斑蝥素片
慢性化脓性骨髓炎,替硝唑片
新生儿肝炎,金菌灵胶囊
肺炎链球菌败血症,头孢羟氨苄颗粒
麻风性周围神经病,雷公藤多甙片
弱精,十六味马蔺子丸
妊娠合并红细胞增多症,高三尖杉酯碱氯化钠注射液
流行性感冒,藿香正气片
淋球菌感染,阿莫西林颗粒
硼酸中毒,注射用鼠神经生长因子
卵巢黄体囊肿破裂,红金消结片
真菌性食物中毒,注射用呋塞米
糖尿病所致脊髓病,消渴灵片
镍及其化合物引起的皮肤病,氟轻松维B6乳膏
儿童分离性焦虑障碍,金黄抱龙丸
肺泡癌,清肺散结丸
胃肠道伴癌综合征,复方氟尿嘧啶口服溶液
胃、十二指肠溃疡急性穿孔,奥美拉唑肠溶胶囊
血管性头痛,夏桑菊颗粒
产后伤食,温胃舒胶囊
