start,end
老年人类风湿性关节炎,猪肉青菜粥
肌注硬结感染,白菜包子
足舟状骨骨软骨病,冰糖莲子汁
皮肤白细胞破碎性血管炎,牛奶菠菜粥
小儿淹溺,牛奶玉米汤
肘内翻畸形,鲜菇小米粥
阴缩,莲子玉米瘦肉羹
c胰岛功能性β细胞瘤,山药葡萄粥
眼烧伤,鸡肉竹笋汤
胸锁关节脱位,生菜香菇
小儿肠套叠,菜花泥子汤
急性脊髓炎,清爽西兰花
气管梗阻,白萝卜油菜汁
阻塞性肺气肿,白菜粥
渗出性中耳炎,香干炒芹菜
克拉伯病,芝麻拌白菜丁
气瘤,绿豆南瓜汤
腹膜后血肿,鸡肉蛋花木耳汤
免疫介导性肾脏病,西瓜番茄汁
肠风,面包布丁
异位胰腺,大白菜饺
松节油皮炎,海带果菜汁
胃肠食物不耐受症,绿豆杂面条
脑疝,花生杏仁粥
脐疝,肉末口蘑烧茄子
乳腺错构瘤,山药桂圆粥
阿尔茨海默病性痴呆,银耳瘦肉羹
股动脉瘤,小白菜馅包子
风寒感冒,葱白香菜汤
风湿性多肌痛,羊肉奶花羹
肩周炎,鸡肉冬菇蒸饺
脊柱裂,蔬菜杂烩粥
脑血栓形成,绿豆芽炒里脊丝
婴儿腹部远心性脂肪营养不良,燕麦粳米粥
瘢痕性脱发,芝麻仁粥
深覆合,桂圆鸡蛋汤
肾精亏虚,黄豆芽排骨
宫颈癌,茼蒿菜鱼头汤
手部屈指肌腱损伤,冬瓜草鱼汤
胆石,番茄西柚汁
生长激素释放抑制素瘤,黑米粥
妊高征,猪肚粥
上睑下垂,黄瓜粳米粥
乳房纤维瘤,花生杏仁粥
小儿色素失调症,冬菇木耳瘦肉汤
皮肤念珠菌病,荷兰豆饺
老年人脑血栓形成,芹菜烧肉水饺
咽部灼伤,冬瓜草鱼汤
倒经,杂粮粥
脾虚泄泻,山药大枣粥
Rh血型不合溶血病,黑木耳芹菜粥
小儿单纯肺动脉口狭窄,赤小豆鲤鱼汤
